Tanggal,Harga
2020-01-02,112950
2020-01-03,112950
2020-01-06,112950
2020-01-07,112950
2020-01-08,112950
2020-01-09,112800
2020-01-10,113050
2020-01-13,111350
2020-01-14,111350
2020-01-15,111300
2020-01-16,111050
2020-01-17,111350
2020-01-20,111100
2020-01-21,110800
2020-01-22,110500
2020-01-23,110750
2020-01-24,111050
2020-01-27,110700
2020-01-28,110600
2020-01-29,110600
2020-01-30,110600
2020-01-31,110450
2020-02-03,110650
2020-02-04,110450
2020-02-05,110000
2020-02-06,109950
2020-02-07,110050
2020-02-10,110000
2020-02-11,110350
2020-02-12,110350
2020-02-13,110350
2020-02-14,110350
2020-02-17,110350
2020-02-18,110350
2020-02-19,110350
2020-02-20,111400
2020-02-21,111500
2020-02-24,111650
2020-02-25,111550
2020-02-26,111650
2020-02-27,111700
2020-02-28,111750
2020-03-02,111800
2020-03-03,111700
2020-03-04,111650
2020-03-05,111600
2020-03-06,111650
2020-03-09,111650
2020-03-10,111400
2020-03-11,109950
2020-03-12,111500
2020-03-13,111500
2020-03-16,111500
2020-03-17,111350
2020-03-18,111250
2020-03-19,111250
2020-03-20,111300
2020-03-23,111350
2020-03-24,111350
2020-03-26,111700
2020-03-27,111350
2020-03-30,111150
2020-03-31,111550
2020-04-01,111550
2020-04-02,111200
2020-04-03,111550
2020-04-06,111200
2020-04-07,111550
2020-04-08,111500
2020-04-09,111550
2020-04-13,111450
2020-04-14,111400
2020-04-15,111400
2020-04-16,111350
2020-04-17,111500
2020-04-20,110950
2020-04-21,110900
2020-04-22,111350
2020-04-23,111450
2020-04-24,111150
2020-04-27,111050
2020-04-28,111150
2020-04-29,111150
2020-04-30,111100
2020-05-04,110800
2020-05-05,111050
2020-05-06,111450
2020-05-08,108250
2020-05-11,111100
2020-05-12,110750
2020-05-13,111050
2020-05-14,111100
2020-05-15,111100
2020-05-18,112550
2020-05-19,112500
2020-05-20,113250
2020-05-22,118750
2020-05-26,116350
2020-05-27,116250
2020-05-28,115300
2020-05-29,114950
2020-06-01,119400
2020-06-02,112100
2020-06-03,112400
2020-06-04,112400
2020-06-05,112400
2020-06-08,112450
2020-06-09,112450
2020-06-10,112650
2020-06-11,112800
2020-06-12,111500
2020-06-15,111350
2020-06-16,111250
2020-06-17,111350
2020-06-18,111250
2020-06-19,111250
2020-06-22,110750
2020-06-23,111050
2020-06-24,110750
2020-06-25,110200
2020-06-26,110950
2020-06-29,110750
2020-06-30,110550
2020-07-01,110600
2020-07-02,111700
2020-07-03,111650
2020-07-06,110900
2020-07-07,111200
2020-07-08,111400
2020-07-09,110600
2020-07-10,110950
2020-07-13,110550
2020-07-14,110900
2020-07-15,111100
