Tanggal,Harga
2020-01-02,10700
2020-01-03,10700
2020-01-06,10650
2020-01-07,10700
2020-01-08,10700
2020-01-09,10750
2020-01-10,10700
2020-01-13,10600
2020-01-14,10600
2020-01-15,10600
2020-01-16,10600
2020-01-17,10650
2020-01-20,10650
2020-01-21,10700
2020-01-22,10700
2020-01-23,10700
2020-01-24,10700
2020-01-27,10700
2020-01-28,10700
2020-01-29,10700
2020-01-30,10750
2020-01-31,10700
2020-02-03,10700
2020-02-04,10750
2020-02-05,10700
2020-02-06,10750
2020-02-07,10700
2020-02-10,10750
2020-02-11,10700
2020-02-12,10750
2020-02-13,10700
2020-02-14,10700
2020-02-17,10700
2020-02-18,10700
2020-02-19,10750
2020-02-20,10700
2020-02-21,10700
2020-02-24,10700
2020-02-25,10750
2020-02-26,10750
2020-02-27,10750
2020-02-28,10750
2020-03-02,10750
2020-03-03,10750
2020-03-04,10750
2020-03-05,10750
2020-03-06,10750
2020-03-09,10750
2020-03-10,10750
2020-03-11,10750
2020-03-12,10750
2020-03-13,10750
2020-03-16,10750
2020-03-17,10750
2020-03-18,10800
2020-03-19,10750
2020-03-20,10750
2020-03-23,10750
2020-03-24,10750
2020-03-26,10750
2020-03-27,10750
2020-03-30,10800
2020-03-31,10750
2020-04-01,10750
2020-04-02,10700
2020-04-03,10750
2020-04-06,10800
2020-04-07,10750
2020-04-08,10750
2020-04-09,10800
2020-04-13,10750
2020-04-14,10700
2020-04-15,10700
2020-04-16,10750
2020-04-17,10750
2020-04-20,10750
2020-04-21,10750
2020-04-22,10750
2020-04-23,10750
2020-04-24,10750
2020-04-27,10750
2020-04-28,10700
2020-04-29,10750
2020-04-30,10700
2020-05-04,10700
2020-05-05,10700
2020-05-06,10700
2020-05-08,10700
2020-05-11,10650
2020-05-12,10550
2020-05-13,10600
2020-05-14,10650
2020-05-15,10650
2020-05-18,10650
2020-05-19,10650
2020-05-20,10650
2020-05-22,10950
2020-05-26,10650
2020-05-27,10650
2020-05-28,10650
2020-05-29,10650
2020-06-01,10950
2020-06-02,10700
2020-06-03,10650
2020-06-04,10650
2020-06-05,10650
2020-06-08,10650
2020-06-09,10650
2020-06-10,10650
2020-06-11,10650
2020-06-12,10600
2020-06-15,10650
2020-06-16,10650
2020-06-17,10600
2020-06-18,10600
2020-06-19,10600
2020-06-22,10600
2020-06-23,10600
2020-06-24,10600
2020-06-25,10650
2020-06-26,10650
2020-06-29,10600
2020-06-30,10600
2020-07-01,10600
2020-07-02,10600
2020-07-03,10550
2020-07-06,10600
2020-07-07,10600
2020-07-08,10600
2020-07-09,10600
2020-07-10,10600
2020-07-13,10650
2020-07-14,10600
2020-07-15,10600
2020-07-16,10600
2020-07-17,10600
2020-07-20,10550
2020-07-21,10600
2020-07-22,10600
2020-07-23,10600
2020-07-24,10550
2020-07-27,10550
2020-07-28,10550
2020-07-29,10500
2020-07-30,10550
2020-08-03,10550
2020-08-04,10550
2020-08-05,10550
2020-08-06,10550
2020-08-07,10600
2020-08-10,10500
2020-08-11,10550
2020-08-12,10550
2020-08-13,10550
2020-08-14,10550
2020-08-18,10600
2020-08-19,10550
2020-08-24,10550
2020-08-25,10600
2020-08-26,10550
2020-08-27,10550
2020-08-28,10550
2020-08-31,10550
2020-09-01,10550
2020-09-02,10550
2020-09-03,10550
2020-09-04,10550
2020-09-07,10550
2020-09-08,10550
2020-09-09,10550
2020-09-10,10600
2020-09-11,10550
2020-09-14,10550
2020-09-15,10550
2020-09-16,10500
2020-09-17,10550
2020-09-18,10550
2020-09-21,10550
2020-09-22,10550
2020-09-23,10550
2020-09-24,10550
2020-09-25,10550
2020-09-28,10550
2020-09-29,10500
2020-09-30,10500
2020-10-01,10500
2020-10-02,10500
2020-10-05,10600
2020-10-06,10550
2020-10-07,10550
2020-10-08,10550
2020-10-09,10500
2020-10-12,10550
2020-10-13,10550
2020-10-14,10500
2020-10-15,10550
2020-10-16,10550
2020-10-19,10550
2020-10-20,10550
2020-10-21,11100
2020-10-22,10500
2020-10-23,10550
2020-10-26,10550
2020-10-27,10550
2020-11-02,10550
2020-11-03,10550
2020-11-04,10550
2020-11-05,10550
2020-11-06,10550
2020-11-09,10500
2020-11-10,10500
2020-11-11,10450
2020-11-12,10500
2020-11-13,10500
2020-11-16,10500
2020-11-17,10500
2020-11-18,10500
2020-11-19,10500
2020-11-20,10500
2020-11-23,10500
2020-11-24,10500
2020-11-25,10500
2020-11-26,10500
2020-11-27,10500
2020-11-30,10500
2020-12-01,10550
2020-12-02,10500
2020-12-03,10500
2020-12-04,10500
2020-12-07,10500
2020-12-08,10500
2020-12-10,10500
2020-12-11,10500
2020-12-14,10450
2020-12-15,10500
2020-12-16,10500
2020-12-17,10500
2020-12-18,10500
2020-12-21,10550
2020-12-22,10500
2020-12-23,10500
2020-12-28,10550
2020-12-29,10550
2020-12-30,10500
2021-01-04,10500
2021-01-05,10500
2021-01-06,10500
2021-01-07,10500
2021-01-08,10500
2021-01-11,10500
2021-01-12,10500
2021-01-13,10500
2021-01-14,10550
2021-01-15,10500
2021-01-18,10500
2021-01-19,10550
2021-01-20,10550
2021-01-21,10600
2021-01-22,10550
2021-01-25,10550
2021-01-26,10550
2021-01-27,10550
2021-01-28,10550
2021-01-29,10550
2021-02-01,10500
2021-02-02,10500
2021-02-03,10500
2021-02-04,10500
2021-02-05,10500
2021-02-08,10500
2021-02-09,10500
2021-02-10,10500
2021-02-11,10500
2021-02-15,10450
