Tanggal,Harga
2020-01-02,29350
2020-01-03,30650
2020-01-06,37100
2020-01-07,38000
2020-01-08,39250
2020-01-09,41650
2020-01-10,42700
2020-01-13,43800
2020-01-14,44450
2020-01-15,47150
2020-01-16,48300
2020-01-17,49400
2020-01-20,52300
2020-01-21,53350
2020-01-22,56250
2020-01-23,56050
2020-01-24,55550
2020-01-27,53050
2020-01-28,54550
2020-01-29,54650
2020-01-30,54200
2020-01-31,51200
2020-02-03,50850
2020-02-04,48850
2020-02-05,45650
2020-02-06,43750
2020-02-07,41600
2020-02-10,39900
2020-02-11,38950
2020-02-12,37250
2020-02-13,35600
2020-02-14,33550
2020-02-17,32300
2020-02-18,31000
2020-02-19,30350
2020-02-20,29300
2020-02-21,27550
2020-02-24,25300
2020-02-25,23750
2020-02-26,23900
2020-02-27,23750
2020-02-28,24150
2020-03-02,23700
2020-03-03,24000
2020-03-04,23900
2020-03-05,24150
2020-03-06,24450
2020-03-09,26000
2020-03-10,26100
2020-03-11,26700
2020-03-12,27450
2020-03-13,28250
2020-03-16,31350
2020-03-17,31900
2020-03-18,33650
2020-03-19,34250
2020-03-20,33300
2020-03-23,32400
2020-03-24,32700
2020-03-26,32200
2020-03-27,30900
2020-03-30,31300
2020-03-31,30800
2020-04-01,30800
2020-04-02,30800
2020-04-03,32900
2020-04-06,31950
2020-04-07,31150
2020-04-08,30850
2020-04-09,28950
2020-04-13,24350
2020-04-14,23700
2020-04-15,23650
2020-04-16,22550
2020-04-17,21550
2020-04-20,19550
2020-04-21,19950
2020-04-22,19800
2020-04-23,18950
2020-04-24,18850
2020-04-27,18650
2020-04-28,17550
2020-04-29,16000
2020-04-30,15100
2020-05-04,15050
2020-05-05,15050
2020-05-06,14600
2020-05-08,15000
2020-05-11,14750
2020-05-12,14300
2020-05-13,14750
2020-05-14,14250
2020-05-15,14400
2020-05-18,14750
2020-05-19,14850
2020-05-20,15900
2020-05-22,20250
2020-05-26,19650
2020-05-27,19650
2020-05-28,18000
