Tanggal,Harga
2020-01-02,12650
2020-01-03,12650
2020-01-06,12700
2020-01-07,12700
2020-01-08,12700
2020-01-09,12750
2020-01-10,12750
2020-01-13,12850
2020-01-14,12750
2020-01-15,12950
2020-01-16,12950
2020-01-17,12950
2020-01-20,12950
2020-01-21,13000
2020-01-22,12950
2020-01-23,12850
2020-01-24,12950
2020-01-27,12950
2020-01-28,12950
2020-01-29,12950
2020-01-30,12900
2020-01-31,12850
2020-02-03,12850
2020-02-04,12850
2020-02-05,12850
2020-02-06,12850
2020-02-07,12850
2020-02-10,12800
2020-02-11,12800
2020-02-12,12800
2020-02-13,12800
2020-02-14,12800
2020-02-17,12800
2020-02-18,12750
2020-02-19,12750
2020-02-20,12750
2020-02-21,12700
2020-02-24,12750
2020-02-25,12750
2020-02-26,12700
2020-02-27,12650
2020-02-28,12650
2020-03-02,12650
2020-03-03,12650
2020-03-04,12650
2020-03-05,12600
2020-03-06,12600
2020-03-09,12550
2020-03-10,12550
2020-03-11,12550
2020-03-12,12550
2020-03-13,12550
2020-03-16,12550
2020-03-17,12550
2020-03-18,12550
2020-03-19,12500
2020-03-20,12500
2020-03-23,12350
2020-03-24,12500
2020-03-26,12500
2020-03-27,12500
2020-03-30,12550
2020-03-31,12550
2020-04-01,12600
2020-04-02,12600
2020-04-03,12600
2020-04-06,12650
2020-04-07,12700
2020-04-08,12700
2020-04-09,12650
2020-04-13,12650
2020-04-14,12700
2020-04-15,12700
2020-04-16,12750
2020-04-17,12750
2020-04-20,12700
2020-04-21,12700
2020-04-22,12600
2020-04-23,12700
2020-04-24,12700
2020-04-27,12650
2020-04-28,12650
2020-04-29,12650
2020-04-30,12600
2020-05-04,12550
2020-05-05,12500
2020-05-06,12500
2020-05-08,12500
2020-05-11,12500
2020-05-12,12250
2020-05-13,12450
2020-05-14,12450
2020-05-15,12450
2020-05-18,12450
2020-05-19,12450
2020-05-20,12450
2020-05-22,12900
2020-05-26,12500
2020-05-27,12450
2020-05-28,12500
2020-05-29,12450
2020-06-01,12900
2020-06-02,12450
2020-06-03,12450
2020-06-04,12500
2020-06-05,12500
2020-06-08,12450
2020-06-09,12450
2020-06-10,12450
2020-06-11,12450
2020-06-12,12400
2020-06-15,12400
2020-06-16,12400
2020-06-17,12400
2020-06-18,12400
